"Number.of.Times.Charted","Popularity","Tempo","Feature","Artist.Followers","Duration.ms"
3,69,162.225,0,23848461,171798
1,68,82.011,0,4894656,214363
9,72,142.948,1,249910,356347
3,68,115.002,0,23848461,163946
2,69,98.05,0,6569150,175873
21,75,94.634,0,4769627,129371
15,75,144.511,0,10580764,188213
34,78,97.014,0,36177712,172127
1,67,66.932,0,13697048,200661
22,76,145.115,0,3337982,197760
29,75,171.965,1,6096559,197721
34,81,72.541,0,891555,156106
38,80,111.202,0,8388838,220492
2,54,144.497,0,23848461,229236
32,77,128.977,1,638337,223480
2,69,130.029,1,9949044,193591
4,68,84.295,0,16655692,174517
3,78,99.975,0,3868320,171621
12,66,129.63,0,352402,153078
16,70,167.969,1,613348,333800
17,80,92.928,0,14073083,260640
1,73,97.974,1,9949044,190331
1,65,77.594,1,9949044,201856
1,64,152.891,1,9949044,185037
1,68,92.819,0,5019909,198822
1,60,140.105,1,9949044,181716
1,57,145.953,1,9949044,187773
1,63,155.023,1,9949044,202420
1,69,140.045,0,412466,181496
2,68,117.98,0,4759367,163759
1,61,178.043,1,9949044,194214
5,61,120.003,0,25417,159955
1,62,183.016,1,9949044,214192
1,57,89.484,1,9949044,140833
4,69,126.576,0,4759367,214558
1,67,114.078,0,4759367,207710
2,72,163.944,1,4759367,163906
1,71,175.929,0,4849204,177273
1,77,160.057,0,3868320,205159
1,66,132.008,0,4759367,207265
1,65,80.53,0,4759367,132215
1,69,167.788,0,4759367,180019
5,75,136.029,0,2396662,180161
8,73,100.036,0,1255573,139413
1,66,156.049,0,4759367,156759
1,67,83.5,1,4759367,194871
5,72,178.043,0,21946934,210795
12,78,90.003,1,19102888,160212
1,72,90.024,0,3868320,143901
17,71,99.994,0,134339,212406
35,80,145.013,0,3828418,227478
7,75,71.994,1,17931101,386907
5,70,147.912,1,412466,174730
1,80,125.926,1,3008916,215093
17,78,118.961,1,152237,176767
13,80,176.027,0,4849204,163798
1,62,137.997,1,3071170,201333
1,62,104.106,0,3071170,315640
9,77,75.602,0,42227614,285634
22,78,142.948,0,19102888,242181
11,75,159.93,0,19102888,181661
1,63,88.502,0,4022792,179813
21,80,122.947,0,56327031,220488
20,70,178.462,0,6514102,132303
34,77,146.967,0,27167675,193829
1,71,119.961,1,7593792,199008
1,73,184.021,0,3916979,180348
33,81,133.002,0,3916979,187436
2,79,109.976,1,29238936,214507
2,74,120.074,1,5888533,202008
8,73,93.676,0,32279979,211254
1,70,149.978,0,3263283,230400
2,63,104.875,0,1683006,182931
29,74,103.994,1,2168452,259600
13,76,135.14,0,7816213,181929
1,59,109.019,1,1683006,185330
5,63,137.941,0,15778531,248587
29,81,125.989,0,8671649,134240
4,69,77.052,0,328877,196363
14,77,120.03,0,38111,186878
21,73,84.459,1,28335112,242001
1,62,152.028,0,8673345,199250
1,64,100.032,0,1255573,253569
3,73,101.027,0,2384076,177728
3,67,79.903,0,17732077,185851
3,72,163.781,0,26784251,193700
9,67,124.002,1,2786366,175016
2,70,149.981,1,1245965,162600
10,68,100.009,1,1555628,168507
12,76,112.011,0,177972,210000
7,75,139.883,0,42227614,210252
37,78,104.994,1,5966748,221714
6,68,126.039,1,166517,233905
8,74,105.023,1,7593792,208156
1,67,125.957,0,18936929,159286
12,70,95.114,0,67074,210329
1,65,151.016,0,1492551,168477
36,82,139.864,1,437907,157712
4,66,175.937,1,2919696,212011
11,69,93.064,0,18306226,212312
11,70,120.006,0,18585963,157707
4,60,118.004,0,2203386,235988
34,81,180.051,0,19102888,189323
16,73,112.953,1,2897862,201000
2,82,140.04,1,412466,195429
1,56,96.852,1,4093115,151360
6,77,105.936,0,37151476,246381
4,69,143.783,0,17097317,179917
8,74,143.078,0,19102888,202193
21,0,83.982,1,1251372,233000
1,62,98.995,1,961181,170200
5,76,89.937,0,42227614,261923
1,64,82.992,0,4272745,186468
35,80,97.008,0,881797,180435
4,73,129.017,0,37151476,243267
10,80,150.953,0,6167871,242187
32,80,120.274,0,7744095,203418
5,71,147.922,0,42227614,230999
1,62,116.029,0,27167675,250280
4,71,129.86,0,42227614,255894
6,55,117.967,0,2203386,167147
13,76,164.009,0,4849204,163902
14,73,62.948,0,46992,167917
5,68,146.95,1,328877,248937
4,72,122.053,0,27167675,208505
15,76,84.041,1,6096559,217143
3,69,100.037,1,9778632,111852
5,69,92.989,0,2953525,147076
2,79,123.062,0,36369,190488
4,71,83.433,0,42227614,252881
33,79,103.952,1,7593792,228267
7,67,88.064,0,117894,187500
22,74,84.005,0,6608815,173288
31,80,99.96,0,33663701,149547
3,70,110.107,0,42227614,208978
3,69,94.926,0,42227614,208907
3,70,135.886,0,42227614,195097
3,71,95.939,0,42227614,294521
1,69,162.973,0,7601122,153467
3,70,119.845,0,42227614,190898
1,75,116.912,0,8671649,284480
1,58,97.961,0,6514102,115255
6,60,154.007,0,1674348,196213
5,61,127.96,1,141016,153149
20,75,168.983,0,4794212,155497
2,67,141.916,0,42227614,237258
2,66,94.219,0,42227614,289749
2,67,150.044,0,42227614,234000
1,61,144.018,0,3037935,144973
1,59,130.009,0,1674348,152013
1,60,109.075,0,1683006,180950
1,59,148.949,1,10491105,186843
2,66,118.819,0,42227614,220043
4,73,117.943,0,19102888,154767
1,64,159.999,0,3372385,240297
20,73,122.728,0,29067437,157733
3,69,112.987,1,1779640,178407
24,78,96.988,0,6096559,222680
5,71,111.052,0,3866304,231618
30,71,97.002,0,29067437,200667
22,1,144.833,0,1251372,200387
1,64,139.964,0,14103694,210587
1,60,84.029,1,4093115,189686
1,71,149.881,0,2238190,195268
3,75,76.968,0,19102888,168685
2,82,124.99,0,22536304,199987
1,52,157.005,1,1700759,183839
6,72,127.984,0,19102888,180129
3,72,138.034,0,19102888,186749
3,71,174.146,0,19102888,176650
20,73,100.008,0,92356,106000
7,70,96.459,0,7816213,252729
1,81,121.07,0,22536304,245493
1,60,164.057,0,5449291,265191
2,62,129.995,1,150587,147673
2,72,75.059,0,19102888,147548
2,73,173.966,0,19102888,136408
2,70,163.099,0,19102888,200629
2,71,84.008,0,19102888,182922
2,69,150.075,0,19102888,179464
4,47,159.905,0,632097,186480
2,69,66.424,0,19102888,173114
30,80,179.974,0,4022792,131240
23,74,104.965,0,6161098,214013
1,60,142.016,0,942380,196933
21,78,179.87,0,36177712,163084
6,65,180.006,0,6514102,202667
30,81,136.041,1,5488666,157067
2,67,113.018,0,5002317,264834
30,77,105.027,1,18306226,301714
30,77,181.857,1,3600989,249520
23,74,96.029,1,36177712,210607
29,72,145.921,0,48544923,210427
28,77,97.956,0,6608815,220487
19,77,106.044,0,8671649,163173
7,78,150.068,0,33663701,174853
30,80,126.77,0,7601122,159715
30,75,87.972,1,231580,226533
1,60,174.795,0,19102888,70395
1,59,121.678,0,19102888,30583
1,58,83.534,0,19102888,136545
1,62,94.003,0,1818624,189739
3,64,137.22,1,14624703,189827
2,71,119.987,0,6852509,160000
1,70,115.665,0,383695,178413
2,60,105.043,0,6514102,149857
2,68,168.072,0,18306226,259250
13,80,73.877,0,122883,194853
2,62,159.477,0,6852509,202443
29,77,129.972,1,268766,160627
2,72,91.071,0,6852509,158466
1,67,142.025,0,6852509,175756
1,66,139.989,0,6852509,150857
1,66,141.881,0,6852509,202816
1,63,123.906,0,6852509,185804
1,70,97.02,0,6852509,197938
1,59,140.248,0,6852509,48000
1,59,135.033,0,6852509,259346
1,61,99.999,0,6852509,192000
8,72,133.928,1,411262,115200
4,73,85.359,0,359133,224638
1,60,142.879,0,6852509,132587
19,80,129.928,0,36177712,170972
2,68,120.078,0,1276292,226314
28,77,91.973,1,2435159,309120
1,67,126.989,0,18306226,210624
8,83,167.997,0,35299488,187147
9,73,167.969,1,6096559,289899
27,81,145.038,0,33663701,231267
2,81,118.852,0,3731820,250987
2,61,120.002,0,28335112,281273
1,64,114.008,1,30683,166173
14,1,128.052,0,1251372,180283
7,68,122.179,0,18936929,173124
3,71,88.284,0,7816213,197530
16,76,155.047,0,11821805,224955
5,70,106.99,0,9998991,199653
1,72,180.013,0,4794212,154324
1,67,102.489,0,3912138,291813
27,81,137.958,0,5436999,181027
27,82,91.97,0,4442273,197437
21,81,82.014,0,10850424,190947
27,78,100.541,0,56327031,205427
9,69,111.004,0,8671649,206221
1,0,122.03,1,1251372,156493
21,76,103.007,1,14190858,181436
27,80,127.998,0,1606884,154424
7,71,131.999,0,208926,178933
1,76,131.875,0,23848461,191050
24,75,101.987,0,16127908,172213
27,81,102.819,0,28931149,206459
18,66,124.959,0,32279979,235545
8,72,94.011,1,36177712,194200
1,51,110.973,0,6298789,192936
1,61,94.024,0,1683006,148284
1,57,199.846,1,4093115,168750
4,67,167.994,0,18306226,221429
1,61,71.446,0,5865895,176959
1,66,75.857,0,14103694,235480
2,64,123.109,0,300500,141893
15,71,120.018,1,2786366,208222
14,0,117.987,0,1251372,193533
2,62,140.032,0,3372385,145167
5,79,76.997,0,207170,184638
25,79,124.08,1,441714,152913
4,61,130.003,0,352402,165231
17,79,93.037,1,36177712,206420
15,77,103.014,0,165504,232907
1,62,89.901,0,7601122,204547
1,64,159.494,1,6852509,204000
1,66,139.933,0,40045,180000
1,65,98.543,1,1700759,146028
15,73,155.086,0,11821805,234627
11,70,75.217,0,3370013,223270
6,76,144.89,0,120208,183103
6,67,119.1,0,2613211,161320
6,72,179.788,0,36177712,178000
25,78,91.976,0,36177712,192024
12,68,105.024,1,7593792,183067
24,78,105.046,0,22698747,170746
19,82,150.073,0,2808285,169354
12,74,158.373,1,3129968,183219
1,54,194.034,0,1674348,193360
1,70,97.767,0,29566516,78681
1,55,135.909,1,1101597,182040
8,68,155.051,0,17097317,200838
2,71,120.024,0,8099554,225773
24,75,94.004,1,6096559,199711
5,71,93.094,1,36177712,202240
17,76,123.911,0,33893352,190800
21,77,113.039,0,5436999,180645
23,81,176.169,1,36177712,250534
4,67,169.982,0,10491105,205666
10,82,155.096,0,11821805,182707
5,81,64.934,0,29566516,121887
11,76,139.957,0,6332535,225857
9,72,122.012,0,20829526,220051
1,64,123.036,0,18585963,177600
1,63,119.006,0,18585963,191467
1,58,117.945,0,18585963,173427
1,60,122.965,0,18585963,244880
1,59,116.001,0,18585963,179760
1,63,122.015,0,18585963,186653
1,58,121.028,0,18585963,221667
1,58,75.824,0,18585963,41867
1,61,115.957,0,18585963,161733
1,58,75.824,0,18585963,41867
1,58,122.973,0,18585963,215480
1,66,171.044,1,7593792,203947
1,59,100.706,1,1101597,174893
1,60,125.038,1,218931,119040
1,66,124.603,0,7358720,232839
1,69,138.066,0,7358720,206702
2,64,99.024,0,1683006,149028
2,72,112.887,1,7593792,198635
4,62,129.967,0,1674348,173761
1,77,144.995,0,5564366,225668
1,67,117.066,0,3337982,197000
1,67,99.984,0,35340069,237912
1,60,148.009,0,3337982,158240
1,53,87.629,0,4093115,160667
1,63,112.985,0,3337982,169907
22,78,150.068,0,33663701,174853
3,76,79.968,1,36177712,209180
2,70,117.977,0,5436999,185277
3,67,92.976,1,36177712,183520
1,71,180.007,0,20528724,205208
4,75,120.029,0,4939593,167573
20,76,110.94,0,15663384,205473
14,76,120.082,0,1276406,112493
8,71,126.093,1,378114,198095
15,75,108.959,0,35340069,361027
5,79,140.958,0,17732077,190557
22,0,92.107,0,1251372,200742
7,69,175.994,1,6671084,189567
1,72,115.056,0,799682,160120
1,62,167.987,1,8766508,202308
20,72,188.09,1,14831925,194892
1,60,142.039,0,10491105,207739
3,67,77.271,0,56327031,149078
1,61,139.999,0,10491105,167552
1,74,141.034,1,4849204,165726
10,66,134.012,0,12981319,237517
1,61,141.016,0,11692972,178025
1,69,136.103,0,4849204,194118
2,67,143.995,0,36177712,155060
9,76,119.01,1,1253138,232065
1,69,121.967,1,6434201,283285
21,78,109.986,1,661863,187932
1,63,147.967,0,36177712,143240
1,64,90.041,0,36177712,150060
1,70,92.466,0,3559267,214825
1,62,158.093,1,36177712,176440
2,69,177.951,1,12140496,203360
2,58,77.981,1,4093115,176953
11,82,92.023,0,36177712,175918
2,63,106.869,0,56327031,204805
12,75,119.812,0,644479,201084
1,68,119.537,0,4894562,167810
3,76,150.007,0,17732077,270715
20,77,89.391,0,804613,173800
20,76,139.957,0,6332535,225857
20,76,110.567,0,17097317,202205
13,75,73.537,0,47061119,242265
1,63,170.004,1,56327031,189176
1,71,86.46,0,56327031,192932
1,64,145.074,0,56327031,237946
1,64,86.318,0,56327031,269680
1,60,163.949,0,56327031,152195
1,60,170.718,0,56327031,223124
1,58,77.888,0,56327031,222929
1,64,144.064,0,56327031,180000
1,64,80.506,0,56327031,234783
1,57,85.687,0,56327031,271184
6,70,119.099,1,2613211,161377
4,62,92.046,0,28931149,161188
15,69,84.394,0,1758300,193668
2,65,98.543,0,1700759,146028
5,66,103,0,7601122,139890
13,67,88.015,0,18306226,210000
11,82,77.169,0,56327031,198973
4,70,165.896,1,10580764,183547
3,1,151.042,0,1251372,166799
5,75,120.009,0,3828418,132024
8,70,94.004,1,6096559,267242
18,75,122.973,0,1836564,204533
1,64,143.979,0,559215,141387
1,75,128.047,0,17732077,150043
1,58,100.453,0,2010879,169355
1,56,145.979,0,11821805,251336
15,72,92.007,1,22136717,190570
1,59,125.641,0,5044278,239877
18,77,88.033,1,29679430,179053
11,74,146.013,1,10580764,178613
17,76,75.025,0,9747805,186223
9,76,104,0,4894656,213308
18,66,100.013,0,29067437,145800
1,65,129.93,0,7601122,118547
1,62,140.1,0,7601122,212093
1,56,129.991,0,7601122,111173
7,67,130.007,0,11821805,212354
1,64,160.095,1,1397067,180000
3,70,122.983,1,7593792,215361
6,69,138.066,0,7358720,206702
1,57,109.791,0,7601122,125907
3,63,168.997,1,17792779,203093
13,77,151.891,0,554042,177667
5,73,67.003,0,3828418,221492
1,66,120.059,0,3828418,174848
1,59,76.007,0,1683006,179844
1,57,86.627,0,1045091,167827
9,70,171.649,0,17097317,193795
5,75,122.035,0,2384076,191242
13,77,100.1,1,18195884,209880
2,70,157.878,0,2203386,159670
2,69,173.986,1,4963516,330240
9,41,141.087,1,4849204,165726
3,73,78.616,0,908351,209829
8,71,95.927,0,3991674,159011
8,68,139.98,0,48544923,219933
5,67,150.093,0,20338833,203672
4,67,127.978,0,7744095,186786
6,72,147.982,0,36177712,160638
3,67,80.957,0,35340069,211400
2,0,144.011,0,1251372,129782
14,69,142.959,0,7816213,183011
2,67,106.976,0,27167675,194607
10,76,104.954,0,4421378,165714
1,65,89.719,0,27167675,209583
1,65,114.993,0,27167675,184882
1,64,94.06,0,27167675,218754
2,66,87.221,0,35340069,191307
2,66,65.375,0,35340069,250053
1,63,125.021,0,27167675,166266
1,56,130.015,1,561372,166087
1,54,187.81,1,900975,160357
2,67,120.077,0,35340069,239973
1,65,108.992,0,7744095,220536
2,67,175.946,0,35340069,283227
2,66,148.062,0,35340069,247187
2,67,145.74,0,35340069,355960
1,54,75.978,0,1700759,147353
5,75,93.956,1,36177712,196500
8,70,98.023,1,2435159,305333
1,65,90.019,0,9398941,200293
1,78,139.02,0,7744095,204887
1,63,95.032,0,35340069,195813
1,63,115.233,0,35340069,190173
1,64,175.992,0,29067437,189827
1,65,93.06,0,29067437,176627
1,67,164.081,0,29067437,182093
1,63,94.995,1,29067437,142547
3,69,160.052,0,11821805,210261
3,67,133.082,0,11821805,195299
7,65,100.051,0,7564659,176283
3,63,136.985,0,11821805,198913
1,62,92.971,1,29067437,186693
12,73,160.004,0,7601122,136366
5,63,99.989,0,28931149,226003
1,34,134.999,1,861082,163253
4,71,151.982,0,36177712,243276
3,71,141.82,0,8123757,159533
3,72,135.781,0,4720858,212867
4,72,92.041,0,36177712,159282
4,69,154.083,1,36177712,227939
1,67,75.491,0,11821805,238816
1,70,140.007,1,11821805,219340
1,70,142.046,0,1606884,158709
2,65,130.117,0,11821805,195692
3,69,156.019,1,36177712,240253
1,58,150.063,0,11821805,193861
2,54,149.367,0,4764552,157766
3,69,94.026,1,36177712,167975
1,60,132.936,0,11821805,194844
1,59,131.194,0,11821805,115350
3,69,93.992,0,36177712,136893
1,57,130.019,0,11821805,193314
3,77,83.836,1,36177712,232496
1,58,102.021,0,11821805,181826
1,75,147.589,0,7564659,193090
3,68,105.979,1,5888533,188187
12,70,104.957,1,14831925,215460
12,74,96.493,0,6298789,131607
1,59,175.987,0,11821805,185439
2,74,141.641,0,4442273,180413
2,63,129.957,0,11821805,213885
1,58,142.977,0,11821805,176756
2,65,126.002,0,11821805,233333
1,57,139.915,0,11821805,120076
2,60,128.02,0,11821805,211883
9,70,147.023,0,37151476,198261
1,0,117.992,0,1251372,221467
12,75,80.002,0,509411,270741
3,69,80.353,0,36177712,157967
1,53,127.977,0,1700759,107446
5,58,108.138,0,13312073,187986
1,58,139.891,0,11821805,227474
1,61,142.086,0,11821805,195058
1,62,140.013,0,11821805,192705
1,63,142.933,0,11821805,188800
1,60,118.836,0,11821805,196639
1,57,70.056,0,11821805,212821
1,57,151.923,0,11821805,194452
2,65,90.471,0,878491,457592
1,57,129.945,0,11821805,238425
1,53,156.035,0,11821805,181161
3,64,105.922,0,37151476,246816
2,66,101.024,1,36177712,258280
3,68,82.008,0,4442273,252337
2,66,129.847,0,7816213,177314
1,59,140.894,0,3337982,178097
1,71,86.005,0,4421378,160465
2,77,102.211,1,4442273,162583
4,68,133.503,0,5865895,188563
6,72,93.021,0,6161098,186427
2,64,139.968,1,36177712,190207
5,66,100.047,1,23936368,217773
11,77,97.989,0,83337783,204467
1,80,143.95,0,33663701,223347
1,74,95.016,0,4442273,198973
11,68,92.025,1,4963516,217130
9,68,114.998,0,28931149,220590
11,75,154.187,0,7601122,144935
7,72,95.998,1,4442273,232853
1,67,129.962,0,11821805,212354
1,59,147.004,0,7816213,173061
1,67,120.998,0,7816213,214215
6,71,124.038,0,7816213,205760
2,79,110.042,0,37151476,180221
1,55,114.957,0,1674348,183793
10,67,165.941,1,3600989,304733
9,72,176.073,1,6671084,221103
10,72,93.979,0,23936368,210520
10,67,136.97,0,11821805,198913
8,74,124.918,0,313480,150115
10,72,104,0,2317758,216707
2,61,142.069,0,10491105,315346
2,74,99.908,0,37151476,234458
1,52,86.91,1,4093115,173353
1,74,120.077,0,14921269,174062
7,71,100.041,0,4272745,201398
8,77,92.603,1,29067437,222347
9,78,85.026,0,42227614,171360
10,73,176.075,1,206225,216067
10,75,92.01,1,4963516,266087
9,73,126.803,0,139434,184280
10,77,158.087,0,3991674,173325
10,1,120.035,0,1251372,193143
1,72,145.999,0,37151476,217404
1,72,165.998,0,37151476,225012
1,72,157.999,0,37151476,250296
1,72,79.98,0,37151476,199339
1,72,84.047,0,37151476,261543
1,71,134.953,0,37151476,233266
1,72,141.87,0,37151476,208590
1,69,116.988,0,37151476,196199
1,68,149.756,0,37151476,259821
1,67,91.457,0,37151476,237540
4,57,79.976,1,28017,178500
9,66,174.013,1,206225,218587
3,75,171.374,0,46814751,326467
8,75,185.044,0,47061119,168840
4,64,173.997,1,1050520,143448
1,61,148.964,0,1347589,170947
9,67,174.101,1,8766508,204907
8,29,125.982,1,6223652,206811
1,50,141.937,0,1700759,204319
9,0,94.949,1,1251372,217253
6,2,137.421,0,1251372,291796
1,63,175.396,1,3600989,201361
1,59,145.976,1,11692972,224243
1,66,157.941,0,48544923,200773
1,62,138.999,0,48544923,168200
1,63,117.127,0,48544923,136907
1,61,109.352,0,48544923,185427
1,61,141.97,0,48544923,202720
1,58,149.982,0,48544923,179627
1,58,75.012,0,48544923,195333
1,66,104.998,0,5064200,372867
1,62,64.062,0,48544923,135493
1,58,190.064,0,48544923,170587
1,57,145.012,0,942380,232147
1,58,127.298,0,48544923,176733
1,77,97.96,0,5064200,237800
1,54,129.967,0,48544923,178013
2,62,90.932,0,7744095,192737
1,57,178.83,0,5865895,225266
1,59,147.575,0,48544923,165120
4,15,119.255,1,1251372,193847
3,63,128.021,1,191521,148125
1,56,114.009,0,5064200,324013
6,75,174.088,0,6189454,342040
6,76,118.028,0,47061119,221543
3,63,93.516,0,42227614,157507
1,69,183.059,0,5064200,249587
1,54,83.832,0,48544923,149653
4,0,150.469,0,1251372,180567
2,72,91.873,0,17097317,201000
1,77,147.986,1,48544923,212867
1,70,149.996,0,22170982,156882
7,70,129.039,0,82522,223258
1,65,151.995,0,8153871,181467
7,68,153.131,0,437907,244874
7,71,95.927,0,3991674,159011
2,60,138.005,0,10710088,184440
2,61,109.352,1,48544923,185427
7,74,91.952,1,4769627,201040
7,72,170.001,1,2897862,258600
2,79,79.635,1,6782693,190067
7,74,90.016,1,7226268,227234
7,77,192.091,1,7408249,185195
7,76,139.987,0,5688315,210560
7,76,75.445,0,7601122,163320
7,75,97.963,1,4769627,161627
7,74,94.01,0,5436999,183000
5,68,129.079,0,14190858,206080
6,73,135.984,0,14190858,197573
7,68,111.983,1,3337982,279907
1,56,96.989,0,1045091,162702
7,3,93.989,1,1251372,193227
7,79,123.984,0,14103694,213594
7,74,175.988,1,8766508,287773
5,74,100.087,0,621200,223000
1,0,119.921,0,1251372,148676
3,66,103.868,0,46814751,177693
1,53,105.666,0,1045091,138409
3,73,110.077,0,30386,184480
3,62,160.065,1,486474,162094
6,71,92.043,0,15663384,181806
1,56,156.084,0,2010879,175067
6,76,124.051,1,83743,208474
1,83,100.024,0,22136717,218093
6,69,98.016,0,22698747,207039
4,79,86.003,0,5241145,180522
1,77,182.162,0,42227614,193000
5,74,153.848,0,5488666,114893
2,78,170.163,0,47061119,203569
5,72,97.981,1,6383275,200107
6,68,94.998,0,6332535,176640
2,65,75.055,0,46814751,337147
2,66,140.033,0,46814751,234653
2,75,84.931,0,6189454,209440
5,66,108.138,0,13312073,187986
2,65,89.95,0,46814751,216600
1,62,141.035,0,1140383,162938
2,64,171.983,0,46814751,265947
1,57,80.025,1,1045091,197861
1,59,174.019,0,4794212,183143
5,0,77.341,0,1251372,162596
1,57,103.981,1,862965,167350
4,77,142.049,0,19102888,191840
4,76,95.692,0,26784251,175733
3,73,107.356,0,639516,174444
2,62,88.966,0,46814751,194707
1,62,165.979,0,46814751,173893
1,60,114.86,0,6189454,220853
1,64,68.985,0,6189454,298440
1,63,134.935,0,46814751,200947
1,62,75.014,0,6189454,232212
1,64,137.024,0,46814751,170227
1,62,144.989,0,46814751,200573
1,61,145.68,0,46814751,213413
1,60,183.586,0,46814751,286960
1,62,92.029,0,46814751,177547
1,64,85.011,0,6189454,286387
1,61,93.007,0,46814751,247733
1,62,152.061,0,6189454,256507
1,57,74.545,0,46814751,30133
1,60,155.081,0,46814751,177293
1,60,98.743,0,46814751,303000
1,59,102.046,0,15663384,211784
1,67,147.279,0,6189454,330507
1,60,155.199,0,6189454,217868
1,61,96.838,0,6189454,160267
1,48,158.922,1,1700759,173785
1,58,74.962,0,6189454,199981
1,59,110.05,0,951798,169702
1,65,127.987,1,1603670,193453
1,55,100.031,0,28931149,192172
1,56,111.984,0,28931149,170498
1,55,110.953,0,28931149,148776
1,55,89.999,0,28931149,186459
1,54,150.032,0,28931149,194900
3,69,93.992,0,14190858,157220
3,68,109.034,0,7564659,158805
3,74,145.104,1,1251372,194848
1,51,121.06,0,28931149,189145
1,52,190.054,0,28931149,263306
3,73,139.952,0,3818503,123560
3,75,139.919,0,33663701,229573
1,63,92.958,0,6608815,185806
2,68,130.029,0,6608815,158692
1,58,94.012,0,4794212,199301
3,79,98.994,0,1374784,178480
3,65,164.005,1,6434201,172196
3,76,126.899,1,1353049,238200
1,51,139.745,0,28931149,182017
1,49,93.03,0,28931149,212436
3,81,96.133,0,8153871,186987
3,71,95.881,0,7408249,212500
2,67,117.817,1,18195884,194827
2,69,123.017,1,437907,244761
2,66,147.957,0,437907,157133
2,70,118.037,1,437907,250142
2,59,112.01,0,4039037,201271
2,74,150.964,0,1276406,179133
2,70,128.017,0,1674348,157093
1,74,99.991,0,18936929,223523
2,81,123.994,0,21946934,214847
2,59,180.074,0,29238936,175187
1,73,126.803,1,139434,184280
1,77,143.477,1,437907,181145
1,71,124.876,0,8671649,190920
1,56,123.342,0,437907,46837
1,64,150.134,1,10741972,157600
1,81,136.041,0,5488666,157067
1,76,125.028,0,19102888,215381
1,62,124.996,1,1390813,188613
1,79,116.073,0,27167675,209320
1,66,152.37,0,15019109,181930
1,81,104.988,0,22698747,217307
1,60,154.064,1,208630,152784
1,70,205.272,0,42227614,221307
