"Number.of.Times.Charted","Popularity","Tempo","Feature","Artist.Followers","Duration.ms"
1,78,103.948,1,8148393,176800
3,83,132.037,0,36142273,209771
81,85,140.048,0,67158068,178627
1,84,93.421,1,167628,161684
5,84,83.406,1,130627,140308
71,84,122.031,1,151832,166794
1,80,77.249,0,1909059,186121
8,84,98.54,0,6603627,174682
1,77,117.078,0,1427540,182285
12,84,104.504,0,46785561,284200
1,57,143.971,0,6837946,215000
1,56,99.772,0,6837946,156000
1,79,187.815,1,6430522,181714
1,55,145.396,0,6837946,120828
1,54,135.921,0,6837946,123549
4,81,87.188,0,2008516,193733
1,55,78.082,0,6837946,249231
1,53,143.044,0,6837946,208112
4,84,142.347,1,6777818,121573
4,84,91.996,0,208554,138533
12,84,141.02,1,323203,278085
1,54,71.696,0,6837946,150449
15,85,171.959,1,2123734,182496
4,83,169.941,1,127364,220235
82,84,117.948,0,152226,157606
7,0,75.051,0,1250353,212496
1,76,122.008,0,5178156,249080
3,83,93.989,0,35285425,244005
11,84,124.993,1,2586114,276480
5,84,134.997,0,411579,224042
19,84,124.912,0,35285425,175644
22,83,134.01,0,27142474,165507
29,84,81.068,0,37106176,207481
23,89,93.02,0,8758283,208631
24,84,149.903,0,28909504,186088
1,76,128.012,0,386757,204434
8,84,77.253,0,6266514,209560
2,82,164.819,1,1097789,148228
5,82,97.097,0,9987114,210573
1,80,81.026,0,151870,229601
1,80,113.326,1,3507622,153338
4,83,172.024,1,2166191,202307
13,79,164.081,1,608109,172973
13,84,100.004,1,26769304,241659
2,82,179.879,0,6080597,208292
32,84,95.01,1,18191658,244960
4,78,174.323,0,6475631,258773
1,78,89.982,0,1724414,301304
2,80,77.014,0,8640063,188893
1,77,167.977,0,98503,254467
2,80,142.034,1,6777818,146419
2,81,127.047,0,1042079,302951
3,83,150.062,0,6278835,236524
10,83,125.994,0,17202,175238
4,81,87.971,0,8083566,192621
10,81,129.642,0,47014200,245897
1,77,95.939,0,558345,155363
37,81,140.201,0,180454,123263
17,83,171.966,0,1097789,140942
33,79,127.99,0,15770302,169333
15,82,89.99,0,1275345,210960
36,79,175.946,1,6080597,231595
8,82,147.897,0,384097,166216
4,81,117.496,1,3126961,164896
27,84,85.03,0,12369079,272394
2,76,170.691,1,6777818,138312
1,78,137.131,1,6777818,130980
1,77,173.456,1,6777818,155293
1,77,97.672,1,6777818,146482
1,79,140.223,1,6777818,588139
1,75,127.596,1,6777818,88625
1,74,157.181,1,6777818,223719
1,75,115.852,1,6777818,229565
1,73,92.463,1,6777818,175123
1,80,91.942,0,8640063,138293
1,73,78.958,1,6777818,515865
1,73,108.07,1,6777818,203588
1,75,111.076,0,8640063,223560
3,79,125.983,0,11690201,278191
1,73,168.995,0,8640063,212947
1,74,99.008,0,8640063,177373
3,82,184.339,1,1650683,175924
49,83,168.169,1,29051363,232253
55,82,150.076,1,100604,171375
6,89,93.005,1,29051363,393280
30,83,100.07,0,278679,186133
1,80,106.974,1,1647262,210220
3,79,133.888,0,289437,189933
6,82,88.967,0,14097410,218210
6,82,140.021,0,14097410,218802
77,84,134.021,0,29539807,119133
2,80,155.057,0,4840346,168729
78,84,116.971,0,6603627,196653
19,83,119.932,0,140812,116750
13,83,146.078,0,2562082,258343
26,0,115.884,0,1250353,190779
45,83,124.939,0,3864419,139461
20,80,109.012,0,32574754,220733
78,84,76.469,0,17719446,175721
65,80,113.011,0,27142474,221820
44,83,133.976,0,56308172,261493
2,82,119.933,0,14917926,217000
19,82,97.041,1,319192,218107
6,83,105.143,0,19584111,216880
6,84,100.45,0,14097410,292987
74,84,155.008,0,17719446,312820
41,82,103.019,1,18191658,247160
9,83,106.064,1,152226,233386
3,77,135.976,0,11690201,255532
4,78,145.05,0,4840346,178776
1,75,168.146,0,4840346,190509
1,79,142.989,0,32262679,172598
1,71,126.063,0,11690201,206272
18,83,116.001,0,3911473,174760
1,72,155.038,0,11690201,248652
26,82,124.025,1,5963840,222523
1,74,140.369,0,4840346,165405
1,78,134.944,0,11690201,241790
31,0,94.009,0,1250353,174321
29,82,92.025,0,36142273,130014
6,81,94.998,0,2753929,159147
6,0,178.032,0,1250353,211295
4,80,174.065,0,5473565,168276
1,72,78.43,0,4840346,137692
55,79,123.056,0,18572085,182200
1,81,133.997,1,7805880,257428
1,75,93.007,0,5178156,187307
1,81,133.997,1,7805880,257428
1,81,104.973,1,4136553,202204
4,79,65.988,0,14097410,148421
5,82,82.465,0,4016497,168727
8,82,125.987,1,61930,215693
35,79,92.03,1,7904381,216107
32,83,139.863,0,16112621,208907
2,81,162.124,0,3377762,300413
33,0,163.908,0,1250353,178947
10,82,105.012,0,1246335,178405
1,76,99.01,0,46785561,236666
